Brand and Variety,Phos,Protein,Sodium,Fat,Carbs,Cals,Obtained,meal,label
Diamond Maintenance,0.77,34.3,0.36,16.7,42,3742,12-Nov-19,53.10661476,KITTENS
Hill's Science Diet Adult Light,0.78,38,0.53,9.1,39.5,3179,01-Feb-20,70.27183343,KITTENS
Hill's Science Diet Adult Hairball Control,0.79,33.9,0.45,19.3,31,3673,01-Feb-20,50.22391367,KITTENS
Hill's Science Diet Adult Sensitive Stomach & Skin,0.79,35,0.45,22,36.3,4104,01-Feb-20,46.75324675,KITTENS
Hill's Science Diet Adult Hairball Control Light,0.79,40,0.44,9.6,35.1,3172,01-Feb-20,66.66666667,KITTENS
Wysong Vegan (I do not recommend vegan food for cats),0.8,29.5,0.2,11.4,40.8,3312,16-Oct-19,68.98602438,KITTENS
"Adore Loyal Novel Protein Trout, Barley, Oatmeal and Egg",0.8,32,0.3,19,38,3848,24 Oct 20,52.30263158,KITTENS
Red Flannel Cat Formula,0.8,33.3,0.35,15.3,33.65,3776,12-Nov-19,56.17382088,KITTENS
Hill's Science Diet Adult Sensitive Stomach & Skin Grain Free,0.8,35,0.45,21.9,35.2,4068,01-Feb-20,46.83626875,KITTENS
Organix Organic Chicken & Sweet Potato,0.8,36.9,0.23,15.4,39.9,3739,29-Oct-19,53.07429698,KITTENS
Lotus Grain Free Oven-Baked Sardines & Herring,0.8,38,0.53,15.78,33.43,3457,28-Jan-20,51.66433193,KITTENS
Natural Planet Organic Chicken & Pea All Life Stages,0.81,34.02,0.66,15.75,na,3980,28-Jan-20,54.79129924,KITTENS
Regal Kitten Bites,0.81,37.28,0.3,23.44,na,3993,05-Jan-17,43.88888075,KITTENS
Young Again ZERO Cat & Kitten Trucarnivore 54/26,0.81,57.6,0.25,28.6,0,4482,01-Feb-20,31.3471251,KITTENS
Organix Grain Free Organic Chicken & Brown Rice,0.83,32.6,0.24,15.6,41.1,3726,29-Oct-19,56.31587227,KITTENS
Trader Joe's Premium Chicken*,0.83,33.33,0.27,20,na,3832,28-Nov-16,50.0030003,KITTENS
Blackwood Indoor Chicken Meal & Brown Rice*,0.83,33.33,0.29,13.33,43.93,3824,27-Nov-19,60.01050218,KITTENS
Solid Gold Winged Tiger With Quail & Pumpkin*,0.83,33.33,0.3,11.11,41.11,3560,08-Nov-19,66.00660066,KITTENS
Performatrin Ultra Limited Potato & Turkey Formula,0.84,36.3,0.37,19,30.1,3835,28-Nov-19,48.60084095,KITTENS
Blackwood Adult Chicken Meal & Brown Rice*,0.86,33.33,0.28,18.89,37.46,3913,27-Nov-19,51.17822529,KITTENS
Life's Abundance All Life Stages,0.86,35.48,0.46,22.58,31.2,4023,27-Nov-19,45.89968475,KITTENS
Nulo MedalSeries Adult Hairball Management Chicken & Cod,0.86,43.78,0.42,17.57,23.26,3534,26-Nov-19,45.60755867,KITTENS
Annamaet Original Chicken Meal & Brown Rice,0.87,33,0.36,15,31.5,4022,26-Nov-19,56.96969697,KITTENS
Adirondack Kitten*,0.87,34.44,0.3,20,na,3643,09-Jan-17,49.03600465,KITTENS
Blackwood Kitten Chicken Meal & Brown Rice*,0.87,36.67,0.3,23.33,29.2,4204,27-Nov-19,44.41555463,KITTENS
"Blackwood Special Diet Grain Free Duck Meal, Salmon Meal & Field Pea*",0.87,42.22,0.3,20,29.18,3763,27-Nov-19,43.68545713,KITTENS
Performatrin Ultra Limited Green Pea & Duck Formula,0.88,33.2,0.44,13.2,37.3,3630,28-Nov-19,60.42351223,KITTENS
PetGuard LifeSpan Cat & Kitten,0.88,35.55,0.4,15.55,47.7,3485,18-Dec-19,53.85286789,KITTENS
Performatrin Ultra Limited Sweet Potato & Chicken Formula,0.89,33.3,0.34,13.4,37.8,3630,28-Nov-19,59.8807763,KITTENS
Blackwood Lean/Senior Chicken Meal & Brown Rice*,0.89,33.33,0.32,12.22,47.04,3594,27-Nov-19,62.73622452,KITTENS
Grandma Mae's Country Naturals Grain Free Salmon*,0.89,34.44,0.24,21.11,na,3820,23-Nov-19,47.98437035,KITTENS
Grandma Mae's Country Naturals Grain Free Chicken Meal & Brown Rice*,0.89,37.78,0.29,22.22,na,3900,23-Nov-19,44.47083141,KITTENS
Fussie Cat Market Fresh Salmon*,0.89,38.89,0.22,16.67,29,3550,17-Jan-20,49.708752,KITTENS
Grandma Mae's Country Naturals Grain Free Chicken & Herring*,0.89,38.89,0.26,18.89,na,3700,23-Nov-19,46.88877603,KITTENS
Acana Meadowland,0.89,39,0.33,22,27,4060,29-Oct-19,43.82284382,KITTENS
Acana Wild Atlantic,0.89,39,0.66,22,25,4020,29-Oct-19,43.82284382,KITTENS
Fussie Cat Market Fresh Salmon & Chicken*,0.89,40,0.36,17.78,27,3604,17-Jan-20,47.49718785,KITTENS
Fussie Cat Market Fresh Chicken & Turkey*,0.89,40,0.39,17.78,27,3598,17-Jan-20,47.49718785,KITTENS
NutriSource Senior/Weight Management,0.9,28.92,0.63,9.06,na,3250,28-Jan-20,78.72825699,KITTENS
Diamond Care Urinary Support Formula,0.9,32.9,0.49,16.3,43.9,3728,12-Nov-19,54.93501408,KITTENS
Gather Free Acres Organic Free Run Chicken,0.9,33,0.49,18,37,3664,31-Oct-19,52.52525253,KITTENS
Solid Gold Fit as a Fiddle With Alaskan Pollock*,0.9,33.33,na,11.11,na,3110,08-Nov-19,66.00660066,KITTENS
Halo Holistic Grain Free Chicken & Chicken Liver Senior,0.9,33.5,0.6,14.2,40.4,3520,30-Jan-20,58.01976035,KITTENS
"NutriSource Cat & Kitten Chicken Meal, Salmon & Liver",0.9,33.7,0.6,19.7,na,4170,28-Jan-20,49.97815903,KITTENS
Halo Holistic Grain Free Wild Salmon & Whitefish Senior,0.9,34,0.7,13.7,39.4,3470,30-Jan-20,58.608845,KITTENS
Halo Holistic Sensitive Stomach Seafood Medley,0.9,34.8,0.5,18.6,36.7,3760,30-Jan-20,50.24100853,KITTENS
Halo Holistic Chicken & Chicken Liver Adult,0.9,34.8,0.51,21.6,30.5,3780,30-Jan-20,47.2541507,KITTENS
Halo Holistic Wild Salmon & Whitefish Adult,0.9,35,0.6,16.8,36.3,3730,30-Jan-20,52.38095238,KITTENS
Fromm Chicken À La Veg,0.9,35.04,0.41,20.9,34.99,3871,31-Jan-20,47.67756877,KITTENS
Halo Holistic Sensitive Stomach Turkey & Turkey Liver,0.9,35.2,0.5,21.3,32.3,3770,30-Jan-20,47.18843363,KITTENS
Halo Holistic Healthy Weight Grain Free Wild Salmon & Whitefish Indoor,0.9,36.8,0.6,17.2,33.6,3550,30-Jan-20,50.429727,KITTENS
Now FRESH Grain Free Kitten,0.9,38,0.31,24,30,3947,31-Oct-19,42.98245614,KITTENS
Halo Holistic Grain Free Wild Salmon & Whitefish Kitten,0.9,38.5,0.4,20.9,29.7,3870,30-Jan-20,45.11278195,KITTENS
Wysong Uretic,0.9,46.2,0.8,18,20.5,3528,16-Oct-19,43.86724387,KITTENS
"Feline Medley Chicken, Turkey & Fish",0.91,31.6,0.26,16.3,40.77,na,19-Nov-19,56.18544692,KITTENS
Star Pro Premium Feline Formula,0.91,33.41,0.33,17.03,33.33,3705,01-Feb-20,53.41912076,KITTENS
Performatrin Adult Grain-Free Chicken & Potato Formula,0.91,35.7,0.37,20.1,28.8,4095,16-Jan-20,47.91170199,KITTENS
Young Again Original Cat& Kitten 50/22,0.91,56.5,0.21,26.8,6,4465,01-Feb-20,32.62448818,KITTENS
Young Again Li'l Bites Kitten 50/22,0.91,56.5,0.21,26.8,6,4465,01-Feb-20,32.62448818,KITTENS
Infinia Holistic Chicken & Pea,0.93,36.7,0.45,18.9,23.87,3765,14-Nov-19,48.41197757,KITTENS
Fromm Beef Liváttini Veg,0.93,38.8,0.39,21.22,29.24,3802,31-Jan-20,44.62333725,KITTENS
Performatrin Ultra Limited Potato & Salmon Formula,0.95,36.3,0.27,19,30.5,3835,28-Nov-19,48.60084095,KITTENS
Performatrin Ultra Grain-Free Ocean Recipe,0.95,42,0.53,20,20.6,4186,21-Jan-20,43.80952381,KITTENS
Regal Lean Cat Bites,0.96,31.49,0.3,9.1,na,3276,05-Jan-17,75.71215701,KITTENS
Wellness Complete Health Indoor Chicken & Chicken Meal,0.96,35.11,0.33,13.7,41.08,3532,01-Feb-20,57.67899428,KITTENS
Performatrin Senior Formula,0.96,35.2,0.35,18.4,35.2,3920,28-Nov-19,50.14822134,KITTENS
Nulo Freestyle Freeze-Dried Raw Cat & Kitten Turkey & Duck,0.96,46.9,0.36,43.62,1.02,5214,26-Nov-19,30.49206708,KITTENS
Adirondack Lean /Senior*,0.97,31.11,0.27,11.11,na,3269,09-Jan-17,68.1476055,KITTENS
AvoDerm Grain Free Tuna With Lobster & Crab Meal,0.97,34.7,0.51,18.3,39,3595,24-Jul-19,50.6763673,KITTENS
Whole Earth Farms Grain Free Real Salmon,0.97,40.5,1.06,30.84,15.6,3458,25-Oct-19,37.66152664,KITTENS
Adirondack Adult*,0.98,33.33,0.26,15.56,na,3858,09-Jan-17,55.70994117,KITTENS
Artemis Fresh Mix Feline Formula,0.98,35.8,0.4,23,31.3,3922,23-Nov-16,45.32426524,KITTENS
AvoDerm Kitten Chicken & Herring Meal,0.98,39.13,0.35,23.91,23,4027,24-Jul-19,42.28524143,KITTENS
Blackwood Special Diet Grain Free Chicken Meal & Field Pea*,0.98,44.44,0.31,20,27.3,3823,27-Nov-19,42.50225023,KITTENS
Regal Cat Bites,0.99,33.86,0.34,19.96,na,3813,05-Jan-17,49.57345287,KITTENS
Chicken Soup for the Soul Grain Free Chicken & Legumes,0.99,35.7,0.35,17.19,35.11,3585,28-Oct-19,51.28054712,KITTENS
Authority Adult Chicken & Rice,0.99,36.1,0.2,18.6,37.7,4163,13-Dec-16,49.20620737,KITTENS
Grandma Mae's Country Naturals Grain Free Indoor & Weight Control*,1,33.33,0.21,8.89,na,2950,23-Nov-19,74.997376,KITTENS
GO! Solutions Skin + Coat Care Grain Free Salmon,1,34,0.32,16,39,4122,31-Oct-19,54.41176471,KITTENS
Go! Solutions Sensitivities Limited Ingredient Grain Free Pollock,1,34,0.38,17,41,4232,31-Oct-19,52.94117647,KITTENS
Halo Holistic Healthy Weight Grain Free Game Bird Medley Indoor,1,34,0.7,18.2,35.7,3630,30-Jan-20,51.38978668,KITTENS
Lotus Grain Free Oven-Baked Low Fat Chicken Recipe,1,34.61,0.37,11.06,40.33,3206,28-Jan-20,65.0597487,KITTENS
Newman's Own Adult Cat Formula,1,35,0.3,18,32,na,14-Nov-19,50.79365079,KITTENS
Go! Solutions Sensitivities Limited Ingredient Duck,1,35,0.45,18,36,4222,31-Oct-19,50.79365079,KITTENS
Halo Holistic Healthy Weight Grain Free Chicken & Chicken Liver Indoor,1,35.2,0.7,17.1,36.3,3610,30-Jan-20,51.80090377,KITTENS
Go! Solutions Skin + Coat Care Chicken,1,36,0.28,22,33,4604,31-Oct-19,45.95959596,KITTENS
"Solid Gold Let’s Stay In With Salmon, Lentil & Apple*",1,36,0.38,16,25,na,23-Jan-20,52.77777778,KITTENS
Halo Holistic Grain Free Chicken & Chicken Liver Kitten,1,36,0.4,22.9,29.4,3870,30-Jan-20,45.24502669,KITTENS
Rachael Ray Nutrish Real Chicken & Brown Rice*,1,37.36,0.5,15.38,na,3635,06-Jan-20,52.77439763,KITTENS
Solid Gold Katz-N-Flocken With Lamb & Brown Rice & P*earled Barley,1,37.78,0.32,13.33,37.78,3525,08-Nov-19,56.47653311,KITTENS
Supreme Source Chicken Meal & Turkey Meal*,1,38.89,0.33,16.67,33.33,3650,03-Dec-19,49.708752,KITTENS
Supreme Source Grain Free Whitefish Meal & Salmon Meal*,1,38.89,0.33,16.67,33.33,3660,03-Dec-19,49.708752,KITTENS
Solid Gold Touch of Heaven With Chicken & Sweet Potato*,1,40,0.3,20,27.78,3810,08-Nov-19,45,KITTENS
FirstMate Grain Free Chicken Meal With Blueberries,1,40,0.4,18,29,3530,25-Nov-19,47.22222222,KITTENS
"Solid Gold Indigo Moon With Peas, Chicken & Egg*",1,42,0.3,20,17,3860,22-Jan-20,43.80952381,KITTENS
Solid Gold Indigo Moon With Alaskan Pollock & Egg*,1,42,0.3,20,17,na,23-Jan-20,43.80952381,KITTENS
Instinct Ultimate Protein Duck,1,52,0.56,18.89,18.89,4510,08-Nov-19,40.40599422,KITTENS
Rayne Clinical Nutrition Growth/Sensitive-GI,1.01,36.93,0.54,14.6,36.3,3500,27-Nov-19,54.47551643,KITTENS
Annamet No 29 Sustain Grain Free,1.01,37,0.43,16,26.5,3618,26-Nov-19,52.02702703,KITTENS
Rachael Ray Nutrish Indoor Chicken With Lentils & Salmon*,1.01,37.36,0.48,13.19,na,3499,06-Jan-20,57.09259984,KITTENS
Catered Bowl Antibiotic-free Chicken & Brown Rice*,1.02,33.33,0.27,17.06,37,3500,11-Nov-19,53.44965915,KITTENS
Tender & True Antibiotic-free Chicken & Brown Rice*,1.02,33.33,0.27,17.06,37,3500,11-Nov-19,53.44965915,KITTENS
AvoDerm Adult Chicken & Herring Indoor Hairball Care,1.02,34.78,0.33,17.39,29,3564,24-Jul-19,51.75388154,KITTENS
AvoDerm Adult Chicken & Herring Meal,1.02,34.78,0.33,21.74,28.5,3753,24-Jul-19,47.15142044,KITTENS
"Solid Gold Let’s Stay In With Chicken, Lentil & Apple*",1.02,36,0.38,16,25,na,22-Jan-20,52.77777778,KITTENS
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Chicken,1.02,41.57,0.65,19.73,27.85,3799,26-Nov-19,44.32950436,KITTENS
Nutrisca Grain Free Chicken Recipe*,1.02,42.8,0.46,16.6,24.6,3645,21-Jan-20,47.46087152,KITTENS
VeRUS Feline Life Advantage,1.03,34.1,0.26,20.66,29.21,4785,27-Jan-20,48.68659742,KITTENS
Performatrin Hairball Formula,1.03,36.3,0.52,21,21.1,3830,28-Nov-19,46.59582841,KITTENS
Catered Bowl Antibiotic-free Turkey & Brown Rice*,1.04,33.33,0.34,17.06,37,3750,11-Nov-19,53.44965915,KITTENS
Tender & True Antibiotic-free Turkey & Brown Rice*,1.04,33.33,0.34,17.06,37,3750,11-Nov-19,53.44965915,KITTENS
Chicken Soup for the Soul Grain Free Salmon & Legumes,1.04,35.75,0.3,17.19,35.42,3596,28-Oct-19,51.24137061,KITTENS
Dr Pol's Grain Free 34/15 Cat & Kitten,1.04,37.78,0.29,16.67,34.59,3715,17-Jan-20,50.46423219,KITTENS
Rayne Clinical Nutrition Rabbit Maintenance,1.04,38.72,0.64,14.62,35.41,3530,27-Nov-19,53.1862274,KITTENS
Stella and Chewy's Raw Blend Cage-Free Recipe*,1.04,44.3,0.25,17.6,35.1,3818,21-Jan-20,45.30063616,KITTENS
Fromm Duck À La Veg,1.05,37.16,0.43,21.66,32.95,3757,31-Jan-20,45.3778773,KITTENS
Performatrin Ultra Healthy Weight with Salmon Recipe,1.05,37.2,0.49,13.2,30.7,3380,28-Nov-19,57.18475073,KITTENS
Hill's Healthy Advantage Kitten,1.05,37.3,0.43,24.8,28.3,4139,01-Feb-20,42.93868373,KITTENS
Annamaet Grain Free Chicken Meal & Whitefish Meal,1.05,44,0.41,20,15.5,4149,26-Nov-19,42.72727273,KITTENS
NutriSource Cat & Kitten Chicken & Rice,1.06,32.4,0.59,19.25,na,4098,28-Jan-20,51.64341831,KITTENS
Hill's Science Diet Kitten Chicken,1.06,37.8,0.56,23.5,30,4152,01-Feb-20,43.47630305,KITTENS
Nature's Harvest Adult Grain Free Chicken*,1.06,38.89,na,22.22,23.33,4260,02-Dec-19,43.71535122,KITTENS
Farmina Natural and Delicious Low Ancestral Grain Chicken & Pomegranate Neutered,1.06,40.43,0.74,10.64,34.26,3877,11-Dec-16,62.3280933,KITTENS
Nulo MedalSeries Grain Free Limited Ingredient Diet Cat & Kitten Turkey,1.06,41.57,0.28,19.73,25.6,3726,26-Nov-19,44.32950436,KITTENS
Stella and Chewy's Raw-Coated Cage-Free Chicken*,1.06,43.2,0.25,18.2,31,3837,21-Jan-20,45.12617013,KITTENS
Performatrin Ultra Chicken & Brown Rice Recipe,1.07,36.1,0.45,22,29.3,3865,28-Nov-19,45.88264921,KITTENS
"Wellness Complete Health Chicken, Chicken Meal & Rice",1.07,42.07,0.3,21.14,26.96,3952,01-Feb-20,42.69138317,KITTENS
Life's Abundance All Life Stages Grain Free,1.08,40.86,0.63,20.43,30.1,3961,27-Nov-19,44.05286344,KITTENS
Nature's Logic Chicken,1.08,40.9,0.36,22.4,28.62,3964,15-Nov-20,42.30702061,KITTENS
"RAWZ Meal Free Salmon, Dehydrated Chicken & Whitefish",1.08,45.3,0.41,16.46,28.56,3710,03-Dec-19,46.37639176,KITTENS
Dr Elsey's Clean Protein Chicken Recipe,1.08,62.6,0.58,19.46,4.69,4008,22-Sep-19,36.52942548,KITTENS
Performatrin Adult Formula,1.09,35.9,0.53,20.1,30.2,4110,28-Nov-19,47.75565072,KITTENS
Lovibles Kitten,1.09,36.1,0.48,16.6,33,4185,22-Jan-20,51.79721657,KITTENS
Performatrin Healthy Weight Formula,1.09,36.2,0.46,14.3,24.4,3360,28-Nov-19,55.59633736,KITTENS
Taste of the Wild Prey Limited Ingredient Turkey,1.09,36.8,0.44,14.2,37.5,3689,18-Oct-19,55.34292713,KITTENS
Performatrin Indoor Formula,1.09,36.8,0.51,16.7,29.7,3740,28-Nov-19,51.12600885,KITTENS
AvoDerm Salmon & Brown Rice,1.09,36.96,0.33,19.57,27,3793,24-Jul-19,47.49572519,KITTENS
Fromm Gold Kitten,1.09,37.16,0.43,21.66,32.76,4410,31-Jan-20,45.3778773,KITTENS
PureVita Grain Free Salmon & Green Pea Entrée,1.1,31.4,0.9,18.3,na,4068,28-Jan-20,53.70505726,KITTENS
Exclusive Chicken & Brown Rice Weight Management/Hairball Care,1.1,32.5,0.66,10.08,31.94,3320,12-Nov-19,70.45177045,KITTENS
Exclusive Chicken & Brown Rice,1.1,32.5,0.67,21.3,25.56,3860,12-Nov-19,49.54857349,KITTENS
PureVita Grain Free Chicken & Peas Entrée,1.1,32.7,0.7,18.8,na,3992,28-Jan-20,51.8576355,KITTENS
Lone Star Meow for More,1.1,34.16,0.49,11.44,na,3370,01-Feb-20,64.23903965,KITTENS
Pro Pac Ultimates Deep Sea Select,1.1,34.8,0.4,16.3,39.1,3705,11-Nov-19,53.27550948,KITTENS
Lovibles Seafood,1.1,34.8,0.48,14.5,35.8,4060,22-Jan-20,56.32183908,KITTENS
NutriSource Grain Free Country Select Entrée,1.1,36,0.3,16,na,4036,28-Jan-20,52.77777778,KITTENS
Pro Pac Ultimates Savanna Pride,1.1,37,0.3,16.3,39.1,3730,11-Nov-19,51.56690433,KITTENS
Fromm Hasen Duckenpfeffer,1.1,37.32,0.41,19.37,21.16,3708,31-Jan-20,47.44577448,KITTENS
Instinct Limited Ingredient Diet Rabbit,1.1,38,0.55,20.88,24.18,3890,08-Nov-19,45.4728776,KITTENS
Orijen Cat & Kitten,1.1,44,0.44,22,21,4060,23-Sep-19,40.90909091,KITTENS
GO! Solutions Carnivore 74% Grain Free Salmon & Cod,1.1,46,0.45,18,25,4239,31-Oct-19,43.96135266,KITTENS
Wellness Complete Health Grain Free Adult Chicken & Chicken Meal,1.1,47.12,0.29,19.67,21.83,3907,01-Feb-20,41.55794722,KITTENS
Wellness Complete Health Grain Free Kitten Chicken & Chicken Meal,1.1,47.12,0.29,19.67,21.83,3907,01-Feb-20,41.55794722,KITTENS
Catered Bowl Salmon & Sweet Potato*,1.11,28.33,na,11.67,na,4700,11-Nov-19,69.57419155,KITTENS
Tender & True Salmon & Sweet Potato*,1.11,28.33,na,11.67,na,4700,11-Nov-19,69.57419155,KITTENS
Nature's Harvest Senior/Weight Management*,1.11,32.22,na,13.33,40,3870,02-Dec-19,61.04412509,KITTENS
Nature's Harvest Adult/Kitten Grain Free*,1.11,35.56,na,21.11,28.89,3690,02-Dec-19,47.06985052,KITTENS
Nature's Harvest Grain-Free Cod*,1.11,40,0.44,22.22,na,na,03-Feb-20,43.00180018,KITTENS
"Wellness Complete Health Healthy Weight Chicken,
Chicken Meal & Turkey Meal",1.12,33.97,0.24,13.48,43.58,3520,01-Feb-20,59.11132969,KITTENS
Fromm Gold Mature,1.13,33.28,0.4,13.77,43.79,4017,31-Jan-20,59.09673342,KITTENS
Fromm Salmon À La Veg,1.13,35.18,0.47,17.2,39.2,3679,31-Jan-20,51.68105557,KITTENS
DAD'S Special Mix*,1.13,37.17,0.74,10.75,49.34,3350,25-Nov-19,64.11271906,KITTENS
Performatrin Kitten Formula,1.13,38.6,0.57,23.3,25.8,4230,28-Nov-19,43.07411773,KITTENS
Performatrin Ultra Lamb & Brown Rice Adult Recipe,1.14,35.9,0.49,21.1,29,3865,28-Nov-19,46.81249917,KITTENS
Organix Grain Free Organic Healthy Kitten,1.14,37.5,0.31,16.3,37.57,3590,17-Nov-16,51.20654397,KITTENS
Wellness Complete Health Senior Chicken & Chicken Meal,1.14,43.1,0.32,16.14,29.4,3738,01-Feb-20,47.98500361,KITTENS
Fromm Game Bird Recipe,1.16,38.6,0.44,20.09,30.81,3654,31-Jan-20,45.81713894,KITTENS
Nulo Freestyle Grain Free Indoor Adult Duck & Lentils,1.16,43.78,0.45,19.73,23.21,3724,26-Nov-19,43.11517501,KITTENS
Farmina Natural and Delicious Low Ancestral Grain Chicken & Pomegranate,1.17,38.3,0.53,21.28,29.79,4383,11-Dec-16,44.90665306,KITTENS
Stella and Chewy's Raw-Coated Cage-Free Salmon*,1.17,39.8,0.25,15.9,36.4,3687,21-Jan-20,50.28286085,KITTENS
Lovibles Chicken,1.18,35,0.5,14.5,34.7,4021,22-Jan-20,56.15763547,KITTENS
Hill's Science Diet Kitten Indoor,1.18,38.4,0.54,20.7,31.5,3997,01-Feb-20,45.36533816,KITTENS
Fromm Salmon Tunachovy,1.18,38.7,0.45,17.18,33.57,3621,31-Jan-20,49.12268036,KITTENS
Fromm Gold Adult,1.19,34.96,0.44,19.68,36.93,4318,31-Jan-20,48.92932225,KITTENS
Nulo MedalSeries Grain Free Adult Salmon & Lentils,1.19,43.51,0.36,21.89,22.65,3881,26-Nov-19,41.25640635,KITTENS
Nulo MedalSeries Grain Free Indoor Adult Duck & Cod,1.19,43.78,0.39,16.49,26.34,3493,26-Nov-19,47.09860566,KITTENS
"Canidae All Life Stages Indoor Adult with Chicken, Turkey, Lamb & Fish Meals",1.2,33.15,0.33,15.76,39,4198,23-Jul-19,55.54662318,KITTENS
AvoDerm Adult Grain Free Turkey Meal,1.2,33.7,0.43,18.48,30,3685,24-Jul-19,51.31861215,KITTENS
AvoDerm Adult Grain Free Ocean Fish & Chicken Meal Formula,1.2,33.7,0.54,17.39,31,3635,24-Jul-19,52.67531563,KITTENS
Evanger's Grain Free Meat Lover's Medley with Rabbit,1.2,35.6,0.2,15.1,31,na,16-Sep-16,54.57995387,KITTENS
Taste of the Wild Canyon River with Trout & Smoked Salmon,1.2,36,0.38,17.5,36.4,3741,23-Sep-19,50.63492063,KITTENS
FirstMate Cat/Kitten,1.2,36,0.8,21,29,3660,25-Nov-19,46.82539683,KITTENS
Earthborn Holistic Feline Vantage,1.2,39.1,0.3,15.2,39.1,3770,15-Jan-20,51.89123704,KITTENS
GO! Solutions Carnivore 70% Grain Free Lamb & Wild Boar,1.2,47,0.47,16,26,4147,31-Oct-19,46.27659574,KITTENS
Dr Elsey's Clean Protein with Salmon,1.2,58.35,0.65,19.02,9.06,3976,22-Sep-19,38.1684548,KITTENS
AvoDerm Grain Free Duck with Turkey Meal,1.21,35.8,0.39,17.7,39,3563,24-Jul-19,50.53183095,KITTENS
Chicken Soup for the Soul Classic Adult Chicken & Brown Rice,1.21,37.76,0.5,20.28,30.15,3732,28-Oct-19,46.20691673,KITTENS
Nulo MedalSeries Grain Free Cat & Kitten Turkey & Cod,1.21,44.86,0.37,21.89,21.54,3953,26-Nov-19,40.56475789,KITTENS
Catered Bowl Ocean Whitefish & Potato*,1.22,33.33,0.38,17.06,35,3750,11-Nov-19,53.44965915,KITTENS
Tender & True Ocean Whitefish & Potato*,1.22,33.33,0.38,17.06,35,3750,11-Nov-19,53.44965915,KITTENS
Chicken Soup for the Soul Classic Indoor Chicken & Brown Rice,1.22,36.05,0.49,14.89,35.33,3425,28-Oct-19,54.60291793,KITTENS
Farmina Natural and Delicious Low Ancestral Grain Codfish & Orange,1.22,38.3,0.85,21.28,29.89,4476,11-Dec-16,44.90665306,KITTENS
Lotus Oven-Baked Chicken Recipe Adult,1.22,39.17,0.41,21.39,26.27,3697,28-Jan-20,44.23006941,KITTENS
Nulo MedalSeries Grain Free Indoor Adult Turkey & Chicken,1.22,41.71,0.35,18.41,27.13,3632,26-Nov-19,45.70238804,KITTENS
Nulo MedalSeries Grain Free Indoor Adult Trout & Duck,1.22,41.89,0.35,15.75,28.5,3428,26-Nov-19,49.26887123,KITTENS
